DATE,BAMLC0A2CAAEY
2016-11-01,2.33
2016-11-02,2.32
2016-11-03,2.33
2016-11-04,2.31
2016-11-07,2.33
2016-11-08,2.36
2016-11-09,2.48
2016-11-10,2.51
2016-11-11,2.51
2016-11-14,2.59
2016-11-15,2.61
2016-11-16,2.6
2016-11-17,2.63
2016-11-18,2.68
2016-11-21,2.7
2016-11-22,2.69
2016-11-23,2.73
2016-11-24,2.73
2016-11-25,2.74
2016-11-28,2.69
2016-11-29,2.68
2016-11-30,2.74
2016-12-01,2.79
2016-12-02,2.74
2016-12-05,2.74
2016-12-06,2.74
2016-12-07,2.71
2016-12-08,2.73
2016-12-09,2.77
2016-12-12,2.78
2016-12-13,2.79
2016-12-14,2.84
2016-12-15,2.88
2016-12-16,2.88
2016-12-19,2.84
2016-12-20,2.85
2016-12-21,2.83
2016-12-22,2.83
2016-12-23,2.83
2016-12-26,.
2016-12-27,2.85
2016-12-28,2.8
2016-12-29,2.77
2016-12-30,2.74
2016-12-31,2.76
2017-01-02,.
2017-01-03,2.77
2017-01-04,2.77
2017-01-05,2.7
2017-01-06,2.74
2017-01-09,2.71
2017-01-10,2.72
2017-01-11,2.71
2017-01-12,2.7
2017-01-13,2.71
2017-01-16,2.71
2017-01-17,2.67
2017-01-18,2.72
2017-01-19,2.77
2017-01-20,2.75
2017-01-23,2.7
2017-01-24,2.75
2017-01-25,2.78
2017-01-26,2.76
2017-01-27,2.74
2017-01-30,2.74
2017-01-31,2.75
2017-02-01,2.77
2017-02-02,2.76
2017-02-03,2.77
2017-02-06,2.71
2017-02-07,2.7
2017-02-08,2.67
2017-02-09,2.71
2017-02-10,2.72
2017-02-13,2.73
2017-02-14,2.76
2017-02-15,2.78
2017-02-16,2.73
2017-02-17,2.71
2017-02-20,2.71
2017-02-21,2.71
2017-02-22,2.71
2017-02-23,2.68
2017-02-24,2.62
2017-02-27,2.66
2017-02-28,2.68
2017-03-01,2.76
2017-03-02,2.78
2017-03-03,2.77
2017-03-06,2.77
2017-03-07,2.8
2017-03-08,2.84
2017-03-09,2.88
2017-03-10,2.87
2017-03-13,2.89
2017-03-14,2.89
2017-03-15,2.81
2017-03-16,2.82
2017-03-17,2.81
2017-03-20,2.78
2017-03-21,2.75
2017-03-22,2.73
2017-03-23,2.73
2017-03-24,2.72
2017-03-27,2.71
2017-03-28,2.74
2017-03-29,2.72
2017-03-30,2.73
2017-03-31,2.74
2017-04-03,2.7
2017-04-04,2.71
2017-04-05,2.71
2017-04-06,2.7
2017-04-07,2.73
2017-04-10,2.72
2017-04-11,2.67
2017-04-12,2.67
2017-04-13,2.62
2017-04-14,.
2017-04-17,2.63
2017-04-18,2.58
2017-04-19,2.6
2017-04-20,2.62
2017-04-21,2.62
2017-04-24,2.65
2017-04-25,2.68
2017-04-26,2.67
2017-04-27,2.65
2017-04-28,2.65
2017-04-30,2.68
2017-05-01,2.71
2017-05-02,2.68
2017-05-03,2.69
2017-05-04,2.72
2017-05-05,2.72
2017-05-08,2.74
2017-05-09,2.75
2017-05-10,2.75
2017-05-11,2.74
2017-05-12,2.68
2017-05-15,2.68
2017-05-16,2.67
2017-05-17,2.59
2017-05-18,2.61
2017-05-19,2.62
2017-05-22,2.63
2017-05-23,2.65
2017-05-24,2.64
2017-05-25,2.63
2017-05-26,2.63
2017-05-29,2.63
2017-05-30,2.6
2017-05-31,2.63
2017-06-01,2.65
2017-06-02,2.61
2017-06-05,2.63
2017-06-06,2.6
2017-06-07,2.63
2017-06-08,2.64
2017-06-09,2.65
2017-06-12,2.66
2017-06-13,2.66
2017-06-14,2.6
2017-06-15,2.63
2017-06-16,2.61
2017-06-19,2.64
2017-06-20,2.61
2017-06-21,2.61
2017-06-22,2.61
2017-06-23,2.6
2017-06-26,2.59
2017-06-27,2.63
2017-06-28,2.63
2017-06-29,2.65
2017-06-30,2.69
2017-07-03,2.72
2017-07-04,2.72
2017-07-05,2.71
2017-07-06,2.72
2017-07-07,2.73
2017-07-10,2.71
2017-07-11,2.7
2017-07-12,2.66
2017-07-13,2.67
2017-07-14,2.65
2017-07-17,2.64
2017-07-18,2.61
2017-07-19,2.61
2017-07-20,2.61
2017-07-21,2.58
2017-07-24,2.6
2017-07-25,2.65
2017-07-26,2.61
2017-07-27,2.62
2017-07-28,2.6
2017-07-31,2.62
2017-08-01,2.59
2017-08-02,2.6
2017-08-03,2.58
2017-08-04,2.61
2017-08-07,2.61
2017-08-08,2.63
2017-08-09,2.6
2017-08-10,2.6
2017-08-11,2.59
2017-08-14,2.6
2017-08-15,2.64
2017-08-16,2.6
2017-08-17,2.58
2017-08-18,2.58
2017-08-21,2.57
2017-08-22,2.6
2017-08-23,2.56
2017-08-24,2.58
2017-08-25,2.57
2017-08-28,2.56
2017-08-29,2.55
2017-08-30,2.56
2017-08-31,2.55
2017-09-01,2.58
2017-09-04,2.58
2017-09-05,2.51
2017-09-06,2.54
2017-09-07,2.51
2017-09-08,2.51
2017-09-11,2.56
2017-09-12,2.59
2017-09-13,2.61
2017-09-14,2.61
2017-09-15,2.61
2017-09-18,2.63
2017-09-19,2.63
2017-09-20,2.66
2017-09-21,2.66
2017-09-22,2.64
2017-09-25,2.61
2017-09-26,2.61
2017-09-27,2.66
2017-09-28,2.64
2017-09-29,2.65
2017-09-30,2.67
2017-10-02,2.67
2017-10-03,2.65
2017-10-04,2.65
2017-10-05,2.67
2017-10-06,2.68
2017-10-09,2.68
2017-10-10,2.66
2017-10-11,2.66
2017-10-12,2.65
2017-10-13,2.62
2017-10-16,2.65
2017-10-17,2.64
2017-10-18,2.67
2017-10-19,2.65
2017-10-20,2.69
2017-10-23,2.68
2017-10-24,2.69
2017-10-25,2.72
2017-10-26,2.73
2017-10-27,2.71
2017-10-30,2.67
2017-10-31,2.68
2017-11-01,2.69
2017-11-02,2.67
2017-11-03,2.68
2017-11-06,2.66
2017-11-07,2.67
2017-11-08,2.69
