#,Company,Symbol,Weight,Price,Chg,% Chg
385,LKQ Corporation,LKQ,0.043086,52.14,-1.36,(-2.54%)
386,Best Buy Co. Inc.,BBY,0.042947,66.5,-2.38,(-3.46%)
387,Evergy Inc.,EVRG,0.04286,60.77,-0.39,(-0.64%)
388,Skyworks Solutions Inc.,SWKS,0.042804,82.51,-3.91,(-4.52%)
389,Avery Dennison Corporation,AVY,0.042801,165.5,-3.28,(-1.94%)
390,Cooper Companies Inc.,COO,0.042056,270.43,-8.57,(-3.07%)
391,United Airlines Holdings Inc.,UAL,0.042,41.15,-1.51,(-3.54%)
392,Brown & Brown Inc.,BRO,0.041989,56.9,-1.75,(-2.98%)
393,Garmin Ltd.,GRMN,0.041741,84.72,-2.85,(-3.25%)
394,Howmet Aerospace Inc.,HWM,0.041646,35.34,-1.15,(-3.15%)
395,Cboe Global Markets Inc,CBOE,0.041583,126.1,-1.26,(-0.99%)
396,Hormel Foods Corporation,HRL,0.041541,46.31,-0.14,(-0.30%)
397,SVB Financial Group,SIVB,0.041115,212.51,-16.47,(-7.19%)
398,Host Hotels & Resorts Inc.,HST,0.041052,18.3,-0.56,(-2.97%)
399,NortonLifeLock Inc.,NLOK,0.040904,22.76,-0.2,(-0.87%)
400,Kimco Realty Corporation,KIM,0.040789,20.83,-0.69,(-3.21%)
401,NVR Inc.,NVR,0.040651,4129.72,-119.57,(-2.81%)
402,Alliant Energy Corp,LNT,0.040339,51.77,-0.86,(-1.63%)
403,Teradyne Inc.,TER,0.039844,79.47,-2.75,(-3.34%)
404,Tyler Technologies Inc.,TYL,0.03941,298,-16.24,(-5.17%)
405,Healthpeak Properties Inc.,PEAK,0.039283,23.65,-0.15,(-0.63%)
406,Las Vegas Sands Corp.,LVS,0.039239,38.35,-0.29,(-0.75%)
407,Everest Re Group Ltd.,RE,0.038528,321.87,5.84,(1.85%)
408,SolarEdge Technologies Inc.,SEDG,0.038446,220.17,-5.08,(-2.26%)
409,PTC Inc.,PTC,0.03829,120,1.98,(1.68%)
410,Lamb Weston Holdings Inc.,LW,0.038265,86.17,-0.01,(-0.01%)
411,Zebra Technologies Corporation Class A,ZBRA,0.038139,234.23,-4.07,(-1.71%)
412,Match Group Inc.,MTCH,0.03812,45.75,1.85,(4.21%)
413,Viatris Inc.,VTRS,0.037955,10.04,-0.21,(-2.05%)
414,Camden Property Trust,CPT,0.03787,111.89,-3.51,(-3.04%)
415,Brown-Forman Corporation Class B,BF.B,0.037724,66.44,-1,(-1.48%)
416,Nordson Corporation,NDSN,0.037636,221.35,-4.4,(-1.95%)
417,Pool Corporation,POOL,0.037475,294.61,-11.12,(-3.64%)
418,International Paper Company,IP,0.037471,32.86,-0.67,(-2.00%)
419,C.H. Robinson Worldwide Inc.,CHRW,0.037443,87.99,-9.85,(-10.07%)
420,Domino's Pizza Inc.,DPZ,0.03694,339.03,5.59,(1.68%)
421,Bio-Techne Corporation,TECH,0.036842,297.95,-11.34,(-3.67%)
422,UDR Inc.,UDR,0.036665,38.84,-1,(-2.51%)
423,Snap-on Incorporated,SNA,0.036661,220.03,-1.84,(-0.83%)
424,MGM Resorts International,MGM,0.036234,33.4,-2.54,(-7.07%)
425,Interpublic Group of Companies Inc.,IPG,0.035934,29.08,-0.74,(-2.48%)
426,Royal Caribbean Group,RCL,0.035774,50,-1.98,(-3.81%)
427,Etsy Inc.,ETSY,0.035553,96.25,4.82,(5.27%)
428,Advance Auto Parts Inc.,AAP,0.035432,186.87,-2.41,(-1.27%)
429,Packaging Corporation of America,PKG,0.035075,118.8,-1.79,(-1.48%)
430,Stanley Black & Decker Inc.,SWK,0.034948,73.5,-3.09,(-4.03%)
431,Live Nation Entertainment Inc.,LYV,0.034871,76.93,-2.5,(-3.15%)
432,Western Digital Corporation,WDC,0.034325,34.51,-1.19,(-3.32%)
433,Loews Corporation,L,0.034076,55.51,-0.98,(-1.73%)
434,Campbell Soup Company,CPB,0.03288,52.07,-0.5,(-0.95%)
435,NiSource Inc,NI,0.032294,25.62,-0.21,(-0.81%)
436,CarMax Inc.,KMX,0.032066,64.6,0.25,(0.39%)
437,NRG Energy Inc.,NRG,0.031999,43.37,-0.66,(-1.50%)
438,Globe Life Inc.,GL,0.031946,112.26,-1.94,(-1.70%)
439,Charles River Laboratories International Inc.,CRL,0.031901,215.75,8.46,(4.08%)
440,Masco Corporation,MAS,0.031826,44.12,-1.54,(-3.37%)
441,Huntington Ingalls Industries Inc.,HII,0.03158,253.78,-3.06,(-1.19%)
442,Boston Properties Inc.,BXP,0.031409,71.24,-0.96,(-1.33%)
443,Teleflex Incorporated,TFX,0.031396,208.4,-10.84,(-4.94%)
444,Seagate Technology Holdings PLC,STX,0.031356,49.71,-1.32,(-2.59%)
445,Ceridian HCM Holding Inc.,CDAY,0.030964,62.08,-3.37,(-5.15%)
446,Signature Bank,SBNY,0.030841,151.47,-8.54,(-5.34%)
447,Juniper Networks Inc.,JNPR,0.030765,30.11,-0.8,(-2.59%)
448,Henry Schein Inc.,HSIC,0.030656,69.68,-2.06,(-2.87%)
449,Celanese Corporation,CE,0.030296,94,-4.36,(-4.43%)
450,Eastman Chemical Company,EMN,0.029936,79.77,0.89,(1.13%)
451,Paramount Global Class B,PARA,0.029913,16.92,-2.25,(-11.74%)
452,Allegion Public Limited Company,ALLE,0.029244,102.01,-4.55,(-4.27%)
453,Caesars Entertainment Inc,CZR,0.029167,43.67,-0.72,(-1.62%)
454,Regency Centers Corporation,REG,0.028988,60.51,-1.41,(-2.28%)
455,Fox Corporation Class A,FOXA,0.028923,30.04,-0.49,(-1.60%)
456,Rollins Inc.,ROL,0.028883,41.87,-0.33,(-0.78%)
457,Comerica Incorporated,CMA,0.028607,67.79,-2.54,(-3.61%)
458,PulteGroup Inc.,PHM,0.028443,38.47,-1.33,(-3.34%)
459,V.F. Corporation,VFC,0.028401,28.79,0.16,(0.56%)
460,Molson Coors Beverage Company Class B,TAP,0.028335,49.34,0.53,(1.09%)
461,American Airlines Group Inc.,AAL,0.027949,13.55,-0.56,(-3.97%)
462,MarketAxess Holdings Inc.,MKTX,0.027725,232.09,-6.48,(-2.72%)
463,Qorvo Inc.,QRVO,0.027593,85.15,-1.36,(-1.57%)
464,BorgWarner Inc.,BWA,0.027479,36.34,-0.97,(-2.60%)
465,Catalent Inc,CTLT,0.027259,44.9,-4.63,(-9.35%)
466,Carnival Corporation,CCL,0.027216,8.65,-0.4,(-4.42%)
467,WestRock Company,WRK,0.026734,33.57,-0.48,(-1.41%)
468,F5 Inc.,FFIV,0.026572,139,-5.54,(-3.83%)
469,Robert Half International Inc.,RHI,0.026316,76.01,-1.32,(-1.71%)
470,Lincoln National Corporation,LNC,0.025835,42.9,-11.06,(-20.50%)
471,Hasbro Inc.,HAS,0.025642,62.91,-2.14,(-3.29%)
472,Tapestry Inc.,TPR,0.025012,35.97,3.81,(11.85%)
473,Universal Health Services Inc. Class B,UHS,0.024232,113.13,-4.19,(-3.57%)
474,Bath & Body Works Inc.,BBWI,0.024073,32.68,-1.48,(-4.33%)
475,Zions Bancorporation N.A.,ZION,0.024038,49.49,-2.12,(-4.11%)
476,Fortune Brands Home & Security Inc.,FBHS,0.023995,57.64,-2.4,(-4.00%)
477,Whirlpool Corporation,WHR,0.023733,131.9,-5.47,(-3.98%)
478,Bio-Rad Laboratories Inc. Class A,BIO,0.02361,356.02,-2.33,(-0.65%)
479,Pinnacle West Capital Corporation,PNW,0.02356,67.29,-0.52,(-0.77%)
480,A. O. Smith Corporation,AOS,0.022229,53.7,-0.9,(-1.65%)
481,Generac Holdings Inc.,GNRC,0.022183,106.98,-7.72,(-6.73%)
482,Assurant Inc.,AIZ,0.022168,131.02,-3.68,(-2.73%)
483,Wynn Resorts Limited,WYNN,0.021993,67.79,-0.07,(-0.10%)
484,Invesco Ltd.,IVZ,0.021873,15.43,-0.13,(-0.84%)
485,Federal Realty Investment Trust,FRT,0.021679,99.17,-1.63,(-1.62%)
486,Norwegian Cruise Line Holdings Ltd.,NCLH,0.021526,16.35,-0.44,(-2.62%)
487,Pentair plc,PNR,0.021516,40.39,-2.01,(-4.74%)
488,Lumen Technologies Inc.,LUMN,0.021038,6.05,-1.38,(-18.57%)
489,DENTSPLY SIRONA Inc.,XRAY,0.020733,28.6,-2.4,(-7.74%)
490,Organon & Co.,OGN,0.020592,25.93,-0.46,(-1.74%)
491,News Corporation Class A,NWSA,0.020473,16.47,-0.52,(-3.06%)
492,DXC Technology Co.,DXC,0.020468,28.16,-0.66,(-2.29%)
493,Sealed Air Corporation,SEE,0.020367,42.42,-2,(-4.50%)
494,Franklin Resources Inc.,BEN,0.019056,23,0.4,(1.77%)
495,Alaska Air Group Inc.,ALK,0.017062,44.75,0.23,(0.52%)
496,Newell Brands Inc,NWL,0.015573,13.09,-0.27,(-2.02%)
497,Mohawk Industries Inc.,MHK,0.015098,91,-4.09,(-4.30%)
498,Fox Corporation Class B,FOX,0.012955,28.17,-0.44,(-1.54%)
499,Ralph Lauren Corporation Class A,RL,0.01239,90.12,-3.39,(-3.63%)
500,DaVita Inc.,DVA,0.012026,69.76,-0.11,(-0.16%)
501,DISH Network Corporation Class A,DISH,0.0115,15,-0.06,(-0.40%)
502,Vornado Realty Trust,VNO,0.011233,22.85,-0.34,(-1.47%)
503,News Corporation Class B,NWS,0.006505,16.72,-0.5,(-2.90%)
