,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio,long_term_credit_rating
0,2017-02-28,ABT,0.105949123124594,17.004694835680752,3.654954954954955,5.990610328638498,0.3693287887230853,0.0509758787704407,0.6066342611931796,4.423316582914573,3.222729982118021,2.819069069069069,BBB
1,2017-02-28,PNW,0.0864778876578824,4.160917752284659,0.417366231845723,3.1487167023138247,0.9161324278031112,0.1263430057375892,0.6915874799029983,3.222494490663005,7.668622159646447,0.0068688096795999,A-
2,2017-02-28,AAL,0.1571487325582562,5.7982625482625485,0.6653690888119954,3.583011583011583,0.1602664451774262,0.0666002986560477,0.9261809104029332,3.107876930933231,26.25958099131324,0.5043973471741637,BB-
3,2017-02-28,AMD,-0.0183514774494556,-0.8333333333333334,1.3216939078751857,-2.185897435897436,0.0402720010563147,-0.1163389513108614,0.8747365251430292,-24.322033898305083,4.006997900629811,0.9390787518573552,CCC+
4,2017-02-28,APD,0.1400377691630821,10.662609871534825,0.8491587108255355,8.235970250169034,0.2505448859958935,0.142315722283541,0.577240824789635,2.274587288485349,6.6100562053774885,0.2176849413978456,A
5,2017-02-28,ALK,0.2217641709608972,26.654545454545456,0.790138067061144,15.8,0.3101556291861323,0.137244983982465,0.7057819714916683,1.6205576817933296,71.6734693877551,0.6232741617357002,BB+
6,2017-02-28,HES,0.0352776362710137,-8.06766917293233,1.7561083962683253,-14.36842105263158,0.7660191347441133,-1.2876942461150778,0.4552601236854058,6.14259927797834,7.977839335180056,1.2136828076410484,BBB-
7,2017-02-28,HON,0.1616245578086641,20.363888888888887,1.1445716735043785,14.358333333333333,0.2252699949670224,0.1223601852323037,0.6389391644812175,1.886736036359287,5.826997496016389,0.4802522809380932,A
8,2017-02-28,AXP,0.0572924640008497,10.285350318471338,,7.889171974522293,0.2822379298151723,0.1598911982970168,0.8709760656542453,5.733558730504963,3.2889541088580576,,BBB+
9,2017-02-28,AFL,0.0349434737923946,15.99626865671642,,10.921641791044776,0.9041800038351,0.1188433002592295,0.842226484566974,1.2364475201845444,,,A-
10,2017-02-28,AEP,0.0868903754510558,3.740876305307353,0.5334386186565592,1.6603509527397995,0.950536913086054,0.0374478788285785,0.7255281032714278,4.096759361436034,9.48792647505094,0.0570857022531059,A-
11,2017-02-28,AIG,0.0137217684361143,2.173015873015873,,0.3976190476190476,1.1832864179036306,-0.0141739341537657,0.8457484385787454,4.590070298769772,,,BBB+
12,2017-02-28,AME,0.1463354992777441,8.90217011776407,1.553464201609405,6.419030589031965,0.3478966478412809,0.1333714574695834,0.5413797338111846,2.324897807617192,4.712207479968804,0.7758840207217118,BBB+
13,2017-02-28,AMGN,0.1608557526038525,7.853174603174603,3.861567297393788,7.128571428571429,0.2993637988848223,0.3358705580444521,0.6151418339216242,2.883,0.7938223938223938,3.3992324169939305,A
14,2017-02-28,ADI,0.1684346190669043,14.0654530442657,5.873174494912726,12.474777606136472,0.267065546317658,0.251844780907515,0.3518898587978989,1.368235843326148,2.673622616682871,5.180248909869798,BBB
15,2017-02-28,AAPL,0.2275973631336323,34.728445747800585,1.2631707534493062,27.52023460410557,0.2617749731031604,0.2073052201102156,0.5903817818384972,1.2164444444444444,55.18713711478338,0.807713767840812,AA+
16,2017-02-28,AMAT,0.1704575862991705,13.929032258064517,1.735407488986784,12.103225806451611,0.2302521608868632,0.1589838337182448,0.505278310940499,1.3120094191522762,3.064125676023693,1.0322136563876652,A-
17,2017-02-28,ADM,0.0641343242499311,5.313099041533547,0.9271995748880284,5.086261980830671,0.720330154506651,0.0205145478458922,0.5673765998642158,2.704252828716348,6.7660770762562965,0.4498595612237152,A
18,2017-02-28,ADSK,-0.0247947666080625,,1.6116316068587593,,0.0706499711810282,-0.2026357645989548,0.7355115912125259,-11.443504996156802,,1.3743230430520514,BBB
19,2017-02-28,APA,0.1186625081598607,-1.2542372881355932,1.5002712967986978,-1.9067796610169487,0.3300245507040452,-0.2556362958822433,0.6589990674541498,3.4816625916870416,4.401529636711281,0.7471513836136734,BBB
20,2017-02-28,ADP,0.064453877212962,32.3596256684492,1.097124520981687,23.648395721925134,0.0845334627192517,0.1405775454319144,0.8991914027117217,0.7380493446414803,,0.0846235661877564,AA
21,2017-02-28,BK,0.0238707787841578,,,,0.7680841075083827,0.2262983284420059,0.8813083075188398,4.055990783410138,85.2,,A
22,2017-02-28,BAX,0.1077188466909449,11.401869158878505,1.8746355685131195,47.41121495327103,0.3503707252875049,0.4886352454983764,0.4673871092242378,1.4143365531265888,3.372445616348055,1.0207725947521866,A-
23,2017-02-28,AVY,0.1822956354556219,9.483464566929134,0.6913635683280945,6.050393700787401,0.1509419849030343,0.0526903803499548,0.7894868528796288,1.662379421221865,8.441571457205853,0.1132564985281645,BBB
24,2017-02-28,VZ,0.1717605662616096,5.128346456692913,0.8303559657218194,3.584055118110236,0.3147232778080949,0.1041990792189236,0.9015808010484068,2.574511672224869,41.91035044824776,0.094924192485168,BBB+
25,2017-02-28,BDX,0.1274113434215086,5.756476683937824,1.002105982127611,4.391191709844559,0.2152232716158204,0.1054030115146147,0.6973746035475156,3.550468419462073,2.986185508880744,0.3368433035460185,BBB+
26,2017-02-28,BBY,0.1661288264143375,21.945945945945947,0.6686979627989371,15.554054054054054,0.3498694045322909,0.0272354845235686,0.6793566474841375,0.6434372256365233,5.657575324860774,0.4641275465013286,BBB-
