,public_date,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio
67396,2021-12-31,0.218385981159651,11.76171875,0.4865588480046311,8.796875,0.02634625119223177,0.1033607788307182,0.9546275106252932,2.369997349589186,6.043882484194868,0.04395962227287528
68184,2021-12-31,0.1122433757375295,4.803308823529412,0.3631325722089017,2.8621323529411766,0.3771149655524541,0.007471768810343937,0.8082988102961234,3.833776351970669,15.131906349718546,0.2077266303571145
68641,2021-12-31,0.1493809383528383,15.498119198576282,,15.135602868007856,0.6218147934464953,0.1615162414646613,0.3764914658741269,1.6692182191333456,0.9629092509344062,
69090,2021-12-31,0.3381122794593059,24.279252547906598,2.4839953373554056,22.161026704641305,0.07262110794032685,0.2707170803251461,0.6340441567207736,1.046755423390794,3.139987662512562,1.5680138139650632
69091,2021-12-31,0.2147861356932153,4.13013698630137,1.296048505122308,3.5,,0.1373481246698362,1.1052672548002076,4.072103004291845,5.065625,1.1257578925360652
70236,2021-12-31,0.2016256861872822,22.639424460431655,1.0155934379188614,18.18676258992806,0.04482559347056202,0.2151557180683394,0.8546340953641629,1.7779571792729687,1.3364903014297422,0.2610711521398501
70397,2021-12-31,0.02174826415364458,4.016091954022989,,4.751724137931035,1.3814465550386974,0.1187686485699731,0.7643637487444951,11.685022026431717,,
70638,2021-12-31,0.003108183971629264,4.3320610687022905,,6.068702290076335,1.6547311916731926,0.07362643455120031,0.9428105627998508,7.124248496993988,,
70958,2021-12-31,0.2005277559640814,15.587412587412587,1.1683695984249296,11.590909090909092,0.101853477358726,0.09130782100170316,0.8615549592651719,1.1989686709476552,17.49013491382672,0.1962897586476119
71589,2021-12-31,0.2762600961562716,13.845183486238533,0.3624821683309558,10.418577981651376,0.01178184161580948,0.086251076431917,0.9993341432049568,2.0741782322863402,3.717418564637952,0.3004041844983357
71966,2021-12-31,0.1318614766283103,-3.5243445692883895,1.1288700298601289,-4.4344569288389515,1.0131999707017578,-0.009583917718560075,0.4003935347856641,2.108141962421712,20.50485436893204,0.5220807795065221
73139,2021-12-31,0.1546168178624882,9.285097192224622,1.2385306511886778,6.861771058315335,0.1271708199076067,0.1421016807162679,0.7028120405006971,2.6233702094033977,,0.2184543213802974
74493,2021-12-31,0.2947782898563694,12.588235294117647,1.28164600081755,4.949579831932773,0.01515907225349692,0.05722634847193474,0.9609280700970092,1.8712811171827566,5.218623481781377,0.5160103556342825
74763,2021-12-31,0.1042975684267019,7.980840088430361,0.3446566237162548,6.624907885040531,0.2227922199989151,0.1242047026279391,0.6661640548685647,4.2800823305889795,3.147614559490149,0.1166017416255778
74950,2021-12-31,0.3504789214807734,29.447552447552447,1.9621649258637062,20.6013986013986,0.01801784381781411,0.3470777612679544,0.6823700733792268,1.0744318181818182,,1.4445256007596232
75280,2021-12-31,0.07545998599350608,19.303482587064675,0.5619149383607192,-22.90049751243781,,-0.01914012853050508,0.9907797359436364,1.915524151022991,12.22232217438797,0.08636888083072358
76231,2021-12-31,0.2191968585072966,7.885497456425653,1.2133502430348533,7.074222333416729,,0.323318950975692,1.127398128149748,4.402277933541478,183.2403499742666,0.6984852006427035
