gicdesc,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio,long_term_credit_rating,rating,gsector_15.0,gsector_20.0,gsector_25.0,gsector_30.0,gsector_35.0,gsector_40.0,gsector_45.0,gsector_50.0,gsector_55.0
Materials,2017-02-28,HUN,0.1074227997264454,2.7545454545454544,1.2435320584926883,2.5,0.3800494356953251,0.0341721031376203,0.8403525954946132,4.109696376101861,4.982872200263505,0.2390326209223847,BB-,0,1,0,0,0,0,0,0,0,0
Consumer Staples,2017-02-28,TWNK,0.1145600182632992,2.514582369877523,1.163510574832092,1.787776169946146,0.9794482420613452,0.0725783618706242,0.5676061451768537,5.441495007256266,26.41131257390619,0.2584050189557955,B+,0,0,0,0,1,0,0,0,0,0
Materials,2017-02-28,SON,0.161669355667144,7.609299895506791,1.2159662902309447,5.988401253918496,0.3045661983669312,0.0598873857722036,0.603715382558588,1.6395107988064312,9.6011694626248,0.3204845156338773,BBB+,1,1,0,0,0,0,0,0,0,0
Materials,2017-02-28,WOR,0.1392489274354046,6.280266286257728,1.412358435476494,7.356094468220004,0.257088820058235,0.0709222943814819,0.5537444480113459,2.0681131484810007,6.647343439505754,0.268285807158699,BBB,1,1,0,0,0,0,0,0,0,0
Industrials,2017-02-28,FLR,0.1055508147799583,9.517183486633474,1.0673349180522478,5.03795433999627,0.4272988204035625,0.0147821621855879,0.6481462373067539,1.7996751976031204,12.36910109274614,0.5140089344184753,A-,1,0,1,0,0,0,0,0,0,0
Industrials,2017-02-28,CAT,0.0754955907598514,2.4819494584837547,0.8936552885351293,0.9395306859205776,0.2458875715493397,-0.0017385888886005,0.8231286142642964,6.360539512363825,2.852134978704816,0.2827185060462268,A,1,0,1,0,0,0,0,0,0,0
Information Technology,2017-02-28,AVT,0.0627026949657979,5.848819020044111,1.5728663197032389,3.72045121109956,0.7734647287472171,0.0170287618260696,0.5938839124533725,3.97545718614731,5.26613298250702,0.2554649782029584,BBB-,1,0,0,0,0,0,0,1,0,0
Consumer Discretionary,2017-02-28,PERY,0.0883146800028464,5.158351120597652,1.784345968831807,-0.6241995731056567,1.180849419466323,-0.0139738702972331,0.4879662826903616,2.5210808379867333,3.772383266764191,0.3855150123330781,B,0,0,0,1,0,0,0,0,0,0
Industrials,2017-02-28,TKR,0.1396204632368858,7.378612716763006,1.453943008614977,5.410404624277456,0.4159017030569816,0.0571578395385422,0.5265199579451111,1.7033591731266151,3.3737373737373737,0.3605036447978794,BBB,1,0,1,0,0,0,0,0,0,0
Materials,2017-02-28,HL,0.1057671082518686,3.2278397726076427,1.9874568559774084,2.830376881777029,0.7693477598274957,0.1076650612966498,0.3760347635871157,2.1115072079563326,7.113294616229791,1.5601976780671478,B-,0,1,0,0,0,0,0,0,0,0
Energy,2017-02-28,GPRE,0.0809383608893057,1.809804182256747,0.9721806684976452,1.2025222692826347,0.9385379059175576,0.0031261718013615,0.6093380708974934,6.177189522822732,8.066323256946575,0.5986929906243591,B,0,0,0,0,0,0,0,0,0,0
Energy,2017-02-28,RRC,-0.0037715850314889,-3.498338416174731,0.3759793240760375,-2.0995701877976143,0.7479757245020902,-0.4744018204929198,0.5206301582708052,-110.05357559496034,41.55454965357968,0.000446877761854,BB+,0,0,0,0,0,0,0,0,0,0
Utilities,2017-02-28,MSEX,0.0886857894085981,7.6765539391649344,0.4807463447806868,5.296618174948044,0.4162370848204354,0.1711134185063127,0.6438457110331027,2.857995807441791,23.74604123095309,0.0824336960217613,A,1,0,0,0,0,0,0,0,0,1
Consumer Discretionary,2017-02-28,AAP,0.1367117907683823,14.150812446549567,0.2303823183931865,8.55907506085126,0.2702339289291776,0.0480390280652183,0.6492867797397799,0.9278103425122308,1.1876200792505407,0.0367726628012815,BBB-,1,0,0,1,0,0,0,0,0,0
