,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio
37,2017-02-28,AAL,0.1571487325582562,5.7982625482625485,0.6653690888119954,3.583011583011583,0.1602664451774262,0.06660029865604779,0.9261809104029333,3.107876930933231,26.259580991313236,0.5043973471741637
535,2017-02-28,PNW,0.08647788765788242,4.160917752284659,0.417366231845723,3.1487167023138247,0.9161324278031112,0.1263430057375892,0.6915874799029983,3.2224944906630055,7.668622159646447,0.006868809679599922
1493,2017-02-28,AMD,-0.01835147744945568,-0.8333333333333334,1.3216939078751857,-2.1858974358974357,0.04027200105631478,-0.1163389513108614,0.8747365251430292,-24.322033898305083,4.006997900629811,0.9390787518573551
2109,2017-02-28,APD,0.1400377691630821,10.662609871534823,0.8491587108255355,8.235970250169034,0.2505448859958935,0.142315722283541,0.577240824789635,2.274587288485349,6.6100562053774885,0.2176849413978456
2833,2017-02-28,ABT,0.105949123124594,17.004694835680752,3.654954954954955,5.990610328638498,0.3693287887230853,0.05097587877044071,0.6066342611931796,4.423316582914573,3.222729982118021,2.819069069069069
3236,2017-02-28,ALK,0.2217641709608972,26.654545454545456,0.790138067061144,15.8,0.3101556291861323,0.137244983982465,0.7057819714916683,1.6205576817933296,71.6734693877551,0.6232741617357002
5059,2017-02-28,HON,0.1616245578086641,20.363888888888887,1.1445716735043783,14.358333333333333,0.2252699949670224,0.1223601852323037,0.6389391644812175,1.886736036359287,5.826997496016389,0.4802522809380932
5119,2017-02-28,AA,0.07381322475480419,2.5167548500881836,0.8823664613404432,0.3227513227513227,0.8784479125551039,-0.01855072463768116,0.6105022050528187,3.500093179276929,4.8611351195620855,0.3922037326468695
5395,2017-02-28,SWKS,0.3499917196397407,,5.726482746983886,,0.2652935732898229,0.2739813825728674,0.09950742027155035,0.0,3.460601940547556,3.87058128743778
5911,2017-02-28,HES,0.03527763627101375,-8.06766917293233,1.7561083962683253,-14.368421052631579,0.7660191347441133,-1.2876942461150778,0.4552601236854058,6.14259927797834,7.977839335180056,1.2136828076410484
6934,2017-02-28,PRI,0.03454536566084663,12.766581854937089,,8.647485274127774,0.449143404802839,0.1444383589057616,0.8932266731288022,2.298381909310257,178.66776548151637,
8398,2017-02-28,AEP,0.08689037545105585,3.740876305307353,0.5334386186565592,1.6603509527397997,0.950536913086054,0.03744787882857858,0.7255281032714278,4.096759361436034,9.487926475050939,0.05708570225310592
8770,2017-02-28,UHAL,0.1425977013156692,6.448766188309416,,4.86282814140707,0.4763906124255214,0.1300074686469969,0.7157300919612694,2.453256721199619,27.194480970460226,
9339,2017-02-28,AXP,0.05729246400084979,10.285350318471338,,7.889171974522293,0.2822379298151723,0.1598911982970168,0.8709760656542453,5.733558730504963,3.2889541088580576,
9844,2017-02-28,AFL,0.03494347379239465,15.996268656716419,,10.921641791044776,0.9041800038350999,0.1188433002592295,0.842226484566974,1.2364475201845444,,
10292,2017-02-28,AIG,0.0137217684361143,2.173015873015873,,0.3976190476190476,1.1832864179036306,-0.01417393415376571,0.8457484385787454,4.5900702987697715,,
11404,2017-02-28,AME,0.1463354992777441,8.90217011776407,1.553464201609405,6.419030589031965,0.3478966478412809,0.1333714574695834,0.5413797338111846,2.324897807617192,4.712207479968804,0.7758840207217118
11487,2017-02-28,AMGN,0.1608557526038525,7.853174603174603,3.861567297393788,7.128571428571429,0.2993637988848223,0.3358705580444521,0.6151418339216242,2.883,0.7938223938223938,3.3992324169939305
12768,2017-02-28,ADI,0.1684346190669043,14.0654530442657,5.873174494912726,12.474777606136472,0.267065546317658,0.251844780907515,0.3518898587978989,1.368235843326148,2.673622616682871,5.180248909869798
14308,2017-02-28,AAPL,0.2275973631336323,34.728445747800585,1.2631707534493062,27.52023460410557,0.2617749731031604,0.2073052201102156,0.5903817818384972,1.2164444444444444,55.18713711478338,0.807713767840812
14932,2017-02-28,APA,0.1186625081598607,-1.2542372881355932,1.5002712967986978,-1.9067796610169492,0.3300245507040452,-0.2556362958822433,0.6589990674541498,3.4816625916870416,4.401529636711281,0.7471513836136734
15687,2017-02-28,AMAT,0.1704575862991705,13.929032258064517,1.735407488986784,12.103225806451613,0.2302521608868632,0.1589838337182448,0.505278310940499,1.3120094191522762,3.0641256760236932,1.0322136563876652
16311,2017-02-28,ADM,0.06413432424993118,5.313099041533547,0.9271995748880285,5.086261980830671,0.720330154506651,0.02051454784589228,0.5673765998642158,2.704252828716348,6.7660770762562965,0.4498595612237152
17665,2017-02-28,ASH,0.03246305795880867,0.1964285714285714,1.4777876895628903,-1.6130952380952381,0.4770801567298907,-0.171484375,0.6986752391569232,11.273584905660377,2.461313868613139,0.7784121320249777
18176,2017-02-28,ADSK,-0.02479476660806259,,1.6116316068587593,,0.07064997118102821,-0.2026357645989548,0.7355115912125259,-11.443504996156802,,1.3743230430520514
18486,2017-02-28,ADP,0.064453877212962,32.3596256684492,1.097124520981687,23.648395721925134,0.08453346271925176,0.1405775454319144,0.8991914027117217,0.7380493446414803,,0.08462356618775645
18725,2017-02-28,ARW,0.08016190216236814,5.502765725080433,1.1153877087649355,4.085982467014965,0.7369567449429625,0.02194099783418952,0.6856606397441822,2.556647082108535,7.771716425832866,0.07987774960974536
19375,2017-02-28,AVY,0.1822956354556219,9.483464566929134,0.6913635683280945,6.050393700787401,0.1509419849030343,0.05269038034995482,0.7894868528796288,1.662379421221865,8.441571457205853,0.1132564985281645
21585,2017-02-28,BK,0.02387077878415783,,,,0.7680841075083827,0.2262983284420059,0.8813083075188398,4.055990783410138,85.2,
